term,frequency
bad perspective,32
chinese,32
looking at viewer,31
bad picture chill 75v,31
pattern,31
bad contrast,31
crayon,31
high contrast,31
underexposed,31
bad face,31
pinkretroanime,30
retro art,30
photorealistic,30
low quality:2,30
graphite,30
downsampling,29
glossy,29
jewelry,29
artistic error,29
long hair,29
oversaturated,29
safe neg,28
childish,28
worst quality:2,28
inaccurate eyes,28
artist's name,28
artifacts,28
mole,28
baddream,28
closed eyes,28
source cartoon,27
2d,27
disembodied,27
blender,27
terrible,27
flat,27
inaccurate limb,27
symmetrical,27
twisted,27
blush,27
civit nsfw,27
score 2,27
unnatural body,27
bad art,27
negative hand neg,27
worst quality:1.2,26
closed mouth,26
4koma,26
wrong anatomy,26
hyper,26
futanari,26
bad teeth,26
flower,25
score 1,25
imperfect eyes,25
earrings,25
patreon,25
cg,24
conjoined,24
yaoi,24
exaggerated limbs,24
slender body,24
fit body,24
exaggerated pose,24
long fingers,24
detailed,23
8k,23
jeddtl02,23
b&w,23
graphic,23
abs,23
distorted hands,23
full body,23
shoes,23
boring,23
poorly drawn eyes,23
busty,22
detailed eyes,22
best quality,22
hdr,22
face focus,22
very awa,22
newest,22
p0nyd1sney1ncasev1x0n2,22
dynamic pose,22
vagina,22
realistic:0.6,22
moir pattern,22
excessive,22
plain background,22
zpdxl neg,22
embedding:lazyneg,22
normal quality:1.2,21
realistic skin,21
amputation,21
grain,21
extra legs:1.3,21
light particles,21
distorted fingers,21
mixed characters,21
exaggerated anatomy,21
outdoors,21
easynegativev2,21
unprofessional,21
low details,21
skewed eyes,21
unnatural face,21
curvy,21
tall body,21
long legs,21
fastnegativev2,21
very aesthetic,20
detailed face,20
dynamic:1.2,20
stylized,20
animal,20
bad artist,20
body out of frame,20
lineless,20
black hair,20
unclear eyes,20
haze,20
missing hands,20
sweat,20
hair,20
extra ears,20
fastnegativev2 sdxl,20
holding,20
mosaic censoring,20
extra,20
deformed iris,20
deformed pupils,20
extra breasts,20
censorship,20
blurry eyes,20
tiling,19
bangs,19
ugly:1.2,19
digits,19
disfigured:1.3,19
noise,19
jacket,19
missing finger,19
missing,19
missing digit,19
35mm film,18
mangled,18
chromatic aberration,18
shirt,18
from side,18
negative hand,18
deepnegativev1.x v175t,18
mangled hands,18
bad photography,18
bad art:1.4,18
autograph,18
name:1.2,18
unknown,18
ugly hands,18
disembodied penis,18
artist signature,18
painting by bad artist,17
smile,17
dslr,17
deformed anatomy,17
dismembered,17
mutated hands and fingers:1.4,17
extra toes,17
hair ornament,17
asymmetrical,17
parted lips,17
japan,17
facial marking,17
women:1.2,17
female:1.2,17
blue jeans,17
no arms,17
censoring,17
asymmetric eyes,17
misshapen body,17
tentacle finger,17
too many arms,17
text font,17
bad shadow,17
shota,17
white background,17
pumped body,17
deep cleavage,17
shiny skin,17
medium quality,17
3d render,17
fewer digit,17
woman,17
feet,16
nudity,16
surreal,16
repetitive,16
anthro,16
tree,16
flat colors,16
bw,16
airbrushed,16
bad legs,16
crowd,16
multiple girls,16
sky,16
fewer,16
nose,16
roll one x0019 s eyes:1.5,16
fused limb,16
extra nippless,16
extra fingers:1.2,16
speech bubble,15
6 fingers,15
dress,15
skin blemish,15
elderly,15
short legs,15
double body,15
incorrect posture,15
crossed eyes,15
unaestheticxl bp5,15
doujinshi,15
teeth,15
extra finger,15
japanese,15
poor lighting,15
unspeakable horrors composition sdxl,15
undersaturated,15
digital art,15
verybadimagenegative v1.3,15
asymmetrical eyes,15
large breasts,15
dark skin,15
freckles on the face:1.25,15
macho,15
old man,15
fat man,15
nostrils,15
sitting,14
leaf,14
plant,14
body diproportion. dark scene,14
double face,14
two faces,14
out of frame double,14
lineless:1.5,14
black background,14
tanlines,14
vivid colors,14
poorly lit,14
flat color,14
fcneg,14
penis,14
gaping,14
amateur,14
gloves,14
long sleeves,14
necklace,14
building,14
standing,14
:1.4,14
structurezoov21:1.5 photozoov21:1,14
scan,14
cartoonish,14
camera,14
window,13
cat,13
panties,13
pussy,13
dehydrated,13
collar,13
skin spots,13
skin blemishes,13
mutated malformed,13
saturated,13
wide hips,13
makeup,13
dark,13
anatomically incorrect hands,13
simplenegativev3,13
thick lips,13
legs,12
bra,12
wings,12
negfeetv2,12
long torso,12
small breasts,12
blurry background,12
3d game,12
3d game scene,12
bad arms,12
deformities:1.3,12
shiny clothes,12
bad prompt version2,12
short hair,12
lips,12
hat,12
teen,12
night,12
moon,12
plain,12
mundane,12
sketches,12
expressionless,12
unclear photo,12
hands,12
male,12
female,12
lolita,12
sunglasses,12
cum,12
portrait,11
blue eyes,11
day,11
sunlight,11
bad drawing,11
embedding:illusn3g,11
embedding:negativexl d,11
skirt,11
smooth edges,11
water,11
2koma,11
bag,11
acnes,11
brown eyes,11
medium breasts,11
scenery,11
3d character:1.1,11
facial mark,11
tattoo,11
border,11
cub,11
chibi:1.5,11
distorted face,11
pdxlneg noanipny neg,11
half closed eyes,11
cloud,11
star \sky\,11
signature:1,11
watercolor,11
by bad artist neg,11
bare shoulders,11
deviant,11
hand,11
sweat:1.5,11
futa,11
simplified,11
3d art,10
multiple phones,10
weights,10
black,10
no humans,10
animal focus,10
text watermark,10
mushroom,10
glowing,10
halo,10
collared shirt,10
open mouth,10
brown hair,10
white shirt,10
shorts,10
dull colors,10
amateur:1.3,10
missing arm,10
source filmmaker:0.3,10
clones,10
animal ears,10
hair flower,10
city,10
copyright name,10
1boy,10
hair intakes,10
sloppy,10
transparent background,10
zpdxlxxx,10
name,10
label,10
horns,10
goggles:1.5,10
jewelry:1.5,10
earring:1.5,10
lazy eye,10
glowing eyes,10
children,10
mess,10
indoors,9
looking up,9
backlighting,9
anime:1.2,9
deformed body,9
bad lighting,9
short sleeves,9
looking to the side,9
source anime,9
deformed hand,9
strabismus,9
cross eye,9
kanji,9
badhandsv5 neg,9
deformed breasts,9
belly,9
tail,9
cloned,9
red eyes,9
from behind,9
night sky,9
upper body,9
unclear,9
lipstick,9
dull,9
zombie,9
unaestheticxl alb2,9
dutch angle,9
curly hair,9
badly drawn eyes,9
realisian neg,9
colored inner hair,9
jpeg,9
wrong,9
pointy ears,9
hair ribbon:1.5,9
hair bow:1.5,9
food,9
twisted body,9
gem,9
muscular female,9
missing toes,8
skinny,8
shiny,8
bunny ears,8
duplicates,8
letterbox,8
sunflower,8
worst quality:1.5,8
modern,8
recent,8
pregnant,8
ai generated,8
blurry:1.2,8
shinkaistyle,8
belt,8
from below,8
nature,8
forest,8
big nose,8
face,8
abnormal fingers,8
simple shading,8
aged down,8
scars,8
english,8
huge breasts,8
poorly detailed,8
multiple fingers,8
sepia,8
photographic,8
e621 p low,8
core 6,8
front light,8
cameltoe,8
full moon,8
cityscape,8
lossy lossless,8
paintings,8
covered navel,8
anime coloring,8
anime screencap,8
animification,8
pants,8
scanlines,8
base:bad quality,8
sketch:1.1,8
eyes closed,8
human hands,8
human hand:1.55,8
mammal,8
deformed limbs,8
writing,8
big head,8
unnatural pose,8
helmet,8
light censor,8
tan lines,7
monochrome:1.1,7
lowers,7
branch,7
worst quality:1.3,7
missing digits,7
bleed through,7
binding discoloration,7
simple eyes,7
wetskin,7
fluids,7
limited palette,7
bad nails,7
big eye pupils,7
strange shadows,7
extra shadows,7
clothing,7
green fur,7
blue fur,7
longbody,7
abnormal hands,7
twins,7
armor,7
wrong hand,7
cyberpunk,7
hi tech,7
future tech,7
neon,7
cybernetics:1.25,7
thighs,7
dark skinned female,7
missing fingers:1.4,7
4 fingers,7
cloudy sky,7
humans,7
adversarial noise,7
overexposure,7
head out of frame,7
medium hair,7
forehead,7
floating hair,7
simple,7
low saturation,7
bad quality:1.3,7
badly drawn,7
badly drawn fingers,7
mr monster possitive neg,7
bad artist anime neg,7
pa7 unrealistic neg v2,7
horror,7
people,7
2girls,7
extra penis,7
*i* *do* *not* *use* *negative* *prompts*,7
deformed eyes,7
bad ai generated,7
bad anatomy:1.2,7
neg fixl 2,7
poor,7
low effort,7
six fingers,7
ac neg2,7
extra hand,7
multiple tails,7
black cat,6
watermark:1.2,6
wrong proportions,6
extra digit:1.4,6
outlines,6
messy color,6
hyperrealistic,6
score 5 up,6
score 4 up,6
yellow eyes,6
fire,6
bkub,6
missing leg,6
age spot,6
bad nipples,6
blue sky,6
ribbon,6
hair ribbon,6
bare legs,6
plump lips:1.2,6
glossy lips:1.15,6
dark people. weird hands,6
jpeg artifacts:1.2,6
source futanari,6
hands on own face,6
hands on own cheeks,6
tears of blood,6
tear drop tattoo,6
tear tattoo,6
malformed soles,6
multiple person,6
huge ass,6
blush stickers,6
sex,6
big ears,6
weird colors,6
disconnected head,6
huge calf,6
fused hand,6
missing hand,6
disappearing arms,6
disappearing thigh,6
disappearing calf,6
disappearing legs,6
abnormal eye proportion,6
boots,6
liquid body,6
uncoordinated body,6
bad mouth,6
monochromatic,6
neon cityscape:1,6
white hair,6
sidelocks,6
black gloves,6
looking back,6
black dress,6
feral,6
badly drawn hands,6
starry sky,6
house,6
low score,6
bad score,6
overly saturated colors,6
harsh lighting,6
mutated text,6
bokeh,6
clothes,6
eyelashes,6
weapon,6
wet,6
weird fingers,6
artist tag,6
patreon name,6
patreon tag,6
pee,6
piss,6
split view,6
worstquality,6
curly hairstyle,6
multiple hands,6
fused bodies,6
title,6
pubes,6
worst quality:1.8,6
navel,6
blue,6
pink,6
low quality:1.3,6
boy,6
man,6
extra head,6
disembodied:1.1,6
clone,6
multiple heads,6
wrinkled skin,6
subtitles,6
earrings:1.5,6
gemstone,6
sideboob,6
socks,6
sign,6
bad compostion,6
signature artist,6
ugly eyes,6
fused arms,6
piercing,6
bad anatomy:1.5,6
tilted head,6
unbalanced composition,6
unrealistic proportions,6
impressionistic,6
elf,6
chaotic,6
ordinary,6
profile,6
big breasts,5
book,5
whiskers,5
multiple people,5
text:1.2,5
image artifacts,5
normal quality:1.5,5
embedding:easynegative,5
ugly fingers,5
facing away,5
bad prompt,5
torn shorts,5
button,5
downscaled,5
zpdxl3,5
perfect eyes,5
vibrant colors,5
school uniform,5
black eyes,5
off topic,5
bad hands. asian,5
multiple fingers. disjoints. makeup. word,5
letters. logo. numbers.,5
realisticvision negative embedding,5
bad quality:1.15,5
scan dust,5
breast,5
merged fingers,5
tiara,5
abnormal legs,5
abnormal feet,5
impressionist,5
mutated fingers,5
fused face,5
extra eyes,5
fog,5
zpdxl2 neg,5
empty background,5
lineart,5
multicolored hair,5
paper lantern,5
cyberpunk style,5
star \symbol\,5
stairs,5
skyscraper,5
city lights,5
paint,5
hair on face,5
cluttered background,5
excessive noise,5
baddream sdxl,5
logos,5
chinese text,5
korean text,5
chainsaw,5
glossy lips,5
plump lips,5
sleeveless,5
dark background,5
sword,5
reflection,5
large bimbo lips,5
nipple ring,5
twin,5
headphones,5
mutated legs,5
gloomy,5
lights anywhere,5
whitespace,5
milky way,5
signed,5
render:1.2,5
large areola,5
bikini,5
bad artist anime,5
anorexic,5
blank background,5
amputee,5
ambiguous form,5
semi anthro,5
symmetry,5
painting1.2,5
walking,5
road,5
black footwear,5
normal quality:1.3,5
over saturated,5
exposed breasts,5
facial hair,5
fused legs,5
poorly,5
small penis,5
undetailed,5
bright,5
porn,5
ac neg1,5
mixing up traits,5
disproportionate bodies,5
weid anatomy,5
worse body,5
connected bodies,5
texts,5
childish:1.5,5
wrong mask design,5
extra horns,5
bad hair,5
unrelated flowers,5
unrelated outfit,5
extra accessories,5
ugly teeth,5
fusion,5
extra leg,5
earthly,5
text font ui,5
crown,5
green eyes,5
amputated,5
red lips,5
painting frame,5
oil,5
looking away,5
table,4
slit pupils,4
desk,4
white cat,4
symbol,4
pov,4
distracted,4
score 6 up,4
gradient background,4
symmetric background,4
symmetric scenery,4
nsfw:1.3,4
fastnegativeembedding,4
bad aspect ratio,4
fused limbs,4
deformed feet,4
score 7 up,4
tall,4
break,4
hand up,4
red ribbon,4
black shorts,4
backpack,4
sneakers,4
watch,4
deformities,4
imperfections,4
[deformed | disfigured],4
[bad : wrong] anatomy,4
[extra | missing | floating | disconnected] limb,4
cr1.3 neg,4
bad pictures,4
lowres:1.5,4
walled eye,4
multiple moles,4
thick eyelashes:1.5,4
spot color,4
shiny skin:1.3,4
unfocused,4
fastnegative,4
sexy,4
moon behind character,4
over saturation,4
soft,4
{ long body },4
{ mutation},4
{poorlydrawn},4
liquid tongue,4
fused ears,4
bad ears,4
poorly drawn ears,4
liquid ears,4
heavy ears,4
missing ears,4
fused animal ears,4
bad animal ears,4
poorly drawn animal ears,4
extra animal ears,4
liquid animal ears,4
heavy animal ears,4
missing animal ears,4
bad hairs,4
poorly drawn hairs,4
fused hairs,4
big face,4
long face,4
fused eyes poorly drawn eyes,4
fused mouth,4
poorly drawn mouth,4
bad tongue,4
big mouth,4
underage,4
coat,4
deformed legs,4
<lora:sdxl neg overfit v1:8> overfit style,4
nail polish,4
shiny hair,4
lantern,4
symmetrical background,4
bonnet,4
bandana,4
hair ornament:1.5,4
sloppy drawing,4
poorly defined,4
cat ears on link,4
missing fingers:1.2,4
science fiction,4
architecture,4
east asian architecture,4
[abstract],4
muscolar woman,4
film grain,4
somber,4
facial tattoo,4
sun,4
sunset,4
purple eyes,4
purple hair,4
choker,4
parted bangs,4
torn clothes,4
bodysuit,4
blood,4
8k resolution,4
cinematic lighting,4
ponytail,4
bird,4
dual wielding,4
silhouette,4
grass,4
teenager,4
sdxl ti my eyes are bleeding,4
strange clothing,4
looking at the viewer,4
malformed hand:1.2,4
umbrella,4
signature:1.3,4
more than 2 nipples,4
hda negativexl,4
hda badhands neg,4
stumpy,4
mixed bodied,4
empty panel,4
lots of white space filling image,4
worst face,4
bad nose,4
disembodied limb,4
multiple view,4
wide shoulders,4
signiture:1,4
poor quality,4
orange,4
violet,4
green,4
chubby,4
crown braid,4
horn,4
crying,4
talking,4
negative hands,4
static pose,4
dirty face,4
unrealisticdream,4
lack of detail,4
warped hands,4
many fingers,4
redness of female genitals,4
corner,4
multiple cuts,4
restricted hat,4
float,4
toned,4
rough sketch,4
parfait,4
matcha bowl,4
matcha,4
holding spoon,4
matcha leaf,4
multiple bowl,4
fork,4
mochi,4
transmission pole,4
power pole,4
octane render,4
solo focus,4
black skirt,4
see through,4
power lines,4
colorful,4
pleated skirt,4
open clothes,4
skull,4
mutated hands and fingers:1.1,4
extra arm,4
extra digits:1.4,4
unaestheticxl2v10,4
comics,4
white,4
hair bun,4
glasses,4
7 fingers,4
elf ears,4
men,4
rope,4
cluttered,4
cleavage cutout,4
blurred eyes,4
more than 5 fingers,4
mosaic censorship,4
pink hair,4
cheerful,4
simplistic,4
extra drawn feet,4
big contrast,4
contrast white burn,4
white spots overexposed,4
facial markings,4
polydactyl,4
ugly nipples,4
polydactyly,4
fused breasts,4
gay,4
nix,4
figuration libre,4
disproportionate body parts,4
hands bad,4
multiple breasts,4
face bad,4
sleeves,4
flat chest,4
blunt bangs,4
url,4
embedding:lazydn,4
casting long,4
clothing cutout,4
contorted,4
blue hair,4
multipul angle,4
bar censored,4
solid objects,4
non immersive,4
maximal,4
colored sclera,4
extra feet,4
flat lighting,4
barefoot,4
hearts,4
beard,4
:3,3
chair,3
open book,3
potted plant,3
black fur,3
line art,3
unaestheticxl sky3.1,3
low quality:1.5,3
multiple eyebrow,3
conjoined fingers,3
intersected fingers,3
disarticulated fingers,3
picture frame,3
generic,3
[out of frame],3
video game,3
orange eyes,3
poorly drawn hands:1.5,3
bad anatomy:1.21,3
black bars,3
elongated body,3
stable yogis pdxl positives,3
expressiveh,3
score 9,3
score 8 up,3
midjourneyv6.1,3
tight body,3
slim body,3
high reflexion in water,3
decarloxl,3
retro colors,3
60s,3
1girl:1.9,3
almond eyes,3
big eyes,3
bracelet,3
t shirt,3
nipple bulge,3
parted lips:1.2,3
sensual smile,3
orgasm,3
milf,3
big lips,3
extra legs and arms,3
crooked,3
uninteresting,3
nipple,3
childlike,3
elf ear,3
mutated hand,3
bad objects placement,3
background characters,3
leotard,3
weird hands,3
fused feet,3
thighband,3
smudge,3
smearing,3
simple animation,3
simple drawing,3
simple face,3
cel shading,3
cel rendering,3
humanoid,3
ass,3
two tone hair,3
fingernails,3
animal ear fluff,3
feet out of frame,3
chinese clothes,3
knees up,3
side slit,3
lamp,3
latex,3
pointy ears on pink. bad anatomy,3
fat rolls,3
crescent moon,3
rooftop,3
town,3
worst,3
jaggy lines,3
out of shot,3
incoherent,3
wrong perspective,3
vignette,3
vector art,3
glans,3
novel cover,3
rain,3
black shirt,3
messy hair,3
cinematic composition,3
holding weapon,3
gun,3
holding sword,3
katana,3
sheath,3
sparkle,3
:<,3
japanese text,3
ng beyond sdxl v3,3
unsharp,3
artist's signature,3
pink skin creepy,3
meat skin,3
extra legs:1.6,3
tripod,3
deformed fingers:1.5,3
bed,3
cute,3
irregular,3
extra nipples,3
fuzzy,3
stand,3
low quality:1.8,3
normal quality:1.8,3
hair intakes:1.2,3
miniskirt,3
font,3
yellow,3
purple,3
magenta,3
cyan,3
huge eyes,3
bad and mutated hands:1.3,3
geometry,3
multiple limbs,3
interlocked fingers:1.2,3
extra digit and hands and fingers and legs and arms:1.4,3
long fingers:1.2,3
muscle,3
text box,3
monster,3
guro,3
happy,3
rendered,3
reflections,3
mismatched pupils,3
black spots on face,3
red cross,3
pet,3
crowded environment,3
gauntlet,3
shoelace,3
cinematic shot,3
heart,3
high heels,3
handbag,3
street,3
qr code,3
bow,3
hair bow,3
striped,3
open jacket,3
sleeves past wrists,3
kneehighs,3
railing,3
distorted anatomy,3
extra dicks,3
transgender,3
person,3
hand:1.5,3
low quality:1.1,3
3d rendering,3
bad hands:1.3,3
acne,3
logo low res,3
blue flower,3
stacked torsos,3
totem pole,3
fingerless gloves,3
bad body proportions,3
fused hands,3
not in perspective,3
lazyloli,3
ethereal,3
serene,3
powerful,3
very long hair,3
mole under eye,3
headdress,3
young:1.2,3
hair between eyes,3
multiple female,3
multiple male,3
hairy pussy:1.2,3
tiny hands,3
tiny feet,3
multiple women,3
disproportionately large head,3
disproportionately long torso,3
low quality hands,3
comic panel,3
gorget,3
tongue,3
blue skin,3
painted face,3
twintails,3
black tongue,3
fake 3d rendered image,3
<lora:badhands:1>,3
corset,3
bad light,3
zip 2d neg,3
2 heads,3
human skin,3
incorrect anatomy,3
overlapping characters,3
big mouth:0.5,3
blurry foreground,3
deformed nipples,3
<lora:badhands:1>ugly,3
bad finger,3
paws,3
dildo,3
extra face,3
extra character,3
ear piercing,3
copyright,3
plump,3
thick thighs,3
chaos,3
character name,3
fish:2.0,3
arched back,3
undefined,3
lolicon,3
gross,3
drawn,3
comic:0.1,3
lazynsfw,3
female furry,3
male furry,3
mascot,3
plushie,3
high contrast:0.5,3
wide hips:1.3,3
epicnegative,3
parted lips:1.3,3
with long,3
gold,3
silver,3
braid,3
grey hair,3
morphing,3
yellow skin,3
reference sheet,3
explicit,3
midriff,3
cape,3
transparent clothes,3
bizarre,3
bright colors,3
red hair,3
frills,3
neck ribbon,3
rock,3
misshapen,3
bad pussy,3
unreal,3
combined bodies,3
transparent,3
extra fingersextra legs,3
simplistic design,3
fantasy,3
closed eyes:1.2,3
clutter,3
detached sleeves,3
elbow gloves,3
sleeveless dress,3
looking down,3
colored skin,3
forehead jewel,3
photo realistic:1.6,3
blonde hair,3
fangs,3
facing viewer,3
uncensored,3
lewd,3
misaligned eyes,3
mouths with abnormal shapes,3
extra facial features,3
backgrounds that do not blend well with the foreground,3
clothing that appears painted on,3
curtains,3
horizon,3
planet,3
duplicate:1.3,3
censored:1.3,3
excess hands,3
red flower,3
athletic body,3
bug,3
butterfly,3
freckles,3
sandals,3
fruit,3
low quality lowres missing fingers,3
low quality lowres extra digit,3
ocean,3
uneven eyes,3
unrealistic eyes,3
in the image,3
caption,3
hood,3
revolting,3
loathsome,3
full body view,2
bookshelf,2
pen,2
book stack,2
fluffy,2
blue sclera,2
additional fingers,2
duo,2
bystander,2
noisy image,2
deformed|distorted|disfigured:1.21,2
mutated hands and fingers:1.21,2
loss of a limb,2
card \medium\,2
embedding:negative hand neg,2
moir,2
arts exaggerated,2
water mark,2
multi nipples,2
gradient,2
hair stick,2
embers,2
3d face,2
ugly:1.331,2
duplicate:1.331,2
morbid:1.21,2
mutilated:1.21,2
tranny:1.331,2
bad proportions:1.331,2
disfigured:1.331,2
missing arms:1.331,2
extra legs:1.331,2
fused fingers:1.61051,2
too many fingers:1.61051,2
unclear eyes:1.331,2
extra arms and legs,2
bad shading,2
censor bar,2
deep blue eyes:1.9,2
:d,2
hairband,2
arm up,2
headband,2
upper teeth only,2
green skirt,2
wristwatch,2
strap,2
dappled sunlight,2
in tree,2
foliage,2
break panty bulge:1.05,2
embedding:deepnegative xl v1,2
simple design,2
blood on face,2
lower body,2
ero,2
hentai,2
dislocated finger,2
broken finger,2
fractured finger,2
twisted hands,2
word,2
bulge,2
man beneath character,2
extra person,2
muscles,2
incomplete,2
low,2
quality,2
censored nipples,2
nipple slip,2
poorly drawn fingers,2
bloom,2
steam,2
ironman,2
dark red yellow green people worst quality,2
unrealistic postures,2
no perfect eyes,2
flexible deformities:2,2
unhealthy hands:2,2
deformed joints:2,2
not physically perfect,2
elongated body fused hands,2
overweight. pubic hair,2
hairy pussy.,2
fastnegativev2:1.4,2
wrong foot,2
dull lighting,2
super mushroom,2
urban,2
low detailed,2
shadows,2
streaked hair,2
fox ears,2
arm support,2
fox girl,2
tassel,2
eyeliner,2
blue archive,2
hooded eyes,2
obese,2
pudgy,2
draw,2
persons,2
average score,2
ai assisted,2
average quality,2
what,2
turnaround,2
collage,2
framed,2
lip,2
tooth,2
rouge,2
eyeshadow:1.0,2
bad focus,2
out of view,2
motion blur,2
oversaturation,2
lens flare,2
oversharpened,2
animation,2
unity,2
unreal engine,2
lowpoly,2
cover page,2
copyright notice,2
barcode,2
magazine cover,2
realistic:1.2,2
cinematic,2
indigo,2
dark fantasy.,2
v shaped eyebrows,2
sleeveless shirt,2
gradient hair,2
volumetric lighting,2
intricate detail,2
male focus,2
japanese clothes,2
holding gun,2
sheathed,2
scabbard,2
neon lights,2
pagoda,2
pokemon \creature\,2
embedding:illustrious\illusn3g,2
text:1.1,2
covered nipples,2
angular face,2
margins,2
my little pony,2
bad shaped cars:1.3,2
1man,2
low poly,2
multiple angle,2
mutated feet,2
smooth negative,2
score up:2,2
blushing,2
female sexy,2
disassembled lightsaber handle:1.5,2
photoshop,2
realistic:1,2
bad anatomy:1.3,2
poorly drawn:1.2,2
missing fingers:1.5,2
extra fingers:1.5,2
censor:1.1,2
watermark:1.3,2
twitter username:1.3,2
english text:1.2,2
deformed toes:1.5,2
missing toes:1.5,2
extra toes:1.5,2
bad hand:1.5,2
bad feet:1.5,2
deformed feet:1.5,2
deformed hands:1.5,2
deformed anatomy:1.5,2
extra feets:1.5,2
people in background,2
cutout,2
dot eyes,2
weird anatomy,2
letter,2
bad lips,2
bald woman,2
bad arm,2
disembodied leg,2
inverted hand,2
oversized head,2
rays,2
frown,2
facial marks,2
red dress,2
scribbles,2
rough,2
human hand,2
human face,2
human:1.55,2
red,2
lazydn,2
bent sword,2
bad sword,2
maid,2
saggy breasts,2
fur,2
giant breasts,2
childish face,2
rating explicit,2
detailed background,2
ziprealism,2
deformed fingers:1.2,2
watermark:1.5,2
normal quality:1.4,2
thick legs,2
ugly nose,2
broken fingers,2
eyes,2
chibi:1.2,2
poor color,2
wrist cuffs,2
big hair,2
animals,2
dark skinned male,2
mosaic,2
boring background,2
unattractive,2
standard,2
bad skin texture,2
disfigured:1.5,2
pawpads,2
headband:1.5,2
hair intake,2
holding skirt,2
cloned body,2
second figure,2
broken limbs,2
cropping,2
simple colors,2
artifacting,2
mutated:1.3,2
deformed:1.3,2
feminine,2
minor,2
bad body anatomy,2
colorless,2
grey,2
dramatic lighting,2
ground vehicle,2
red footwear,2
ilxlneg,2
erotic,2
tits,2
very high color contrast,2
necktie,2
blue skirt,2
black jacket,2
grey eyes,2
dress shirt,2
shadow,2
from above,2
wing collar,2
arms at sides,2
holding bag,2
ruins,2
alley,2
extra arms:1.2,2
bad photography:1.3,2
bad proportions:1.1,2
incorrect proportions wrong hand,2
blurry image,2
distorted perspective,2
cleavage:1.2,2
multiple belts,2
scarf,2
4 koma,2
bad:1.05,2
bad anatomy:1.05,2
watermark:1.1,2
:1.5,2
mosaic censor:1.2,2
source painting,2
moles,2
mask,2
boobs,2
blemishes,2
score 3 down,2
arch,2
pillar,2
baby,2
blue jacket,2
deformityv6,2
bwu,2
pokemon,2
missing body part,2
bad background,2
squares,2
plain pose,2
plain figure,2
imgfixerpre0.3,2
cat eyes,2
sagging breasts,2
a breathtakingly beautiful young woman,2
flecked with gold,2
goddess,2
moss,2
ferns,2
flowers,2
green hair,2
feathers,2
monster girl,2
bush,2
antlers,2
deer,2
色调艳丽，过曝，静态，细节模糊不清，字幕，风格，作品，画作，画面，静止，整体发灰，最差质量，低质量，jpeg压缩残留，丑陋的，残缺的，多余的手指，画得不好的手部，画得不好的脸部，畸形的，毁容的，形态畸形的肢体，手指融合，静止不动的画面，杂乱的背景，三条腿，背景人很多，倒着走,2
weird eyes,2
